Site_ID,Taxon,Lat,Lon
15_16,Quercus alba,43.07296,-77.81912
16_16,Quercus alba,43.11621,-77.63652
18_16,Quercus rubra,43.07417,-77.81431
20_12,Quercus rubra,43.06558,-77.80756
21_8,Quercus rubra,43.06752,-77.80698
22_12,Quercus macrocarpa,43.11248,-77.60178
23_8,Quercus macrocarpa,43.11208,-77.60145
35_4,Quercus alba,43.01739,-77.55668
36_16,Quercus muehlenbergii,42.95561,-77.67852
37_4,Quercus alba,43.03499,-77.54722
38_8,Quercus alba,43.03851,-77.5679
39_8,Quercus alba,42.97627,-77.86469
40_16,Quercus alba,43.00518,-77.79958
44_8,Quercus rubra,43.02898,-77.57057
46_8,Quercus velutina,43.04122,-77.47369
53_16,Quercus velutina,43.01327,-77.5102
54_12,Quercus rubra,43.02623,-77.55543
62_8,Quercus velutina,43.0196,-77.57878
63_8,Quercus rubra,43.08605,-77.57057
65_8,Quercus velutina,42.96681,-77.43801
74_12,Quercus alba,42.84422,-77.54987
77_,Quercus spp.,42.84545,-77.80743
79_8,Quercus macrocarpa,42.8702,-77.82718
88_12,Quercus alba,42.80822,-77.82172
89_12,Quercus alba,42.73498,-77.31581
92_,Quercus spp.,42.73739,-77.31104
94_16,Quercus rubra,42.74434,-77.29814
95_8,Quercus alba,42.76065,-77.38733
96_8,Quercus rubra,42.78324,-77.87962
109_15,Quercus rubra,42.76236,-77.39357
117_8,Quercus alba,42.77129,-77.74881
118_,Quercus spp.,42.61817,-78.00196
125_12,Quercus prinus,42.68071,-77.50903
129_16,Quercus rubra,42.6618,-77.60616
132_12,Quercus rubra,42.64223,-77.98488
133_12,Quercus alba,42.61408,-77.3533
134_8,Quercus rubra,42.64837,-77.59428
135_4,Quercus rubra,42.68916,-77.51843
138_8,Quercus alba,42.66526,-77.82629
140_12,Quercus rubra,42.68916,-77.56101
144_4,Quercus rubra,42.62893,-77.24202
154_16,Quercus rubra,42.61119,-77.3478
165_,Quercus rubra,42.61725,-77.34377
172_12,Quercus rubra,42.67387,-77.33048
178_8,Quercus velutina,42.59367,-78.01887
179_4,Quercus alba,42.49612,-77.87578
180_12,Quercus rubra,42.49434,-77.8372
181_8,Quercus rubra,42.58741,-78.00183
182_12,Quercus rubra,42.51141,-78.03841
183_8,Quercus rubra,42.51808,-78.03364
184_4,Quercus alba,42.48711,-77.76085
187_12,Quercus rubra,42.50493,-77.82983
194_12,Quercus rubra,42.52336,-77.69025
202_16,Quercus alba,43.05199,-77.45522
205_8,Quercus rubra,43.17991,-77.51434
206_12,Quercus alba,43.18381,-77.51537
207_4,Quercus rubra,43.18143,-77.51273
210_8,Quercus alba,42.8375,-77.80225
213_12,Quercus rubra,42.88174,-77.82656
215_8,Quercus alba,42.516,-77.88395
217_12,Quercus rubra,42.67432,-77.31678
219_16,Quercus alba,42.82273,-77.81355
223_4,Quercus alba,43.14023,-77.56653
224_,Quercus spp.,43.13965,-77.56474
227_11,Quercus rubra,42.49583,-77.7872
228_16,Quercus alba,42.66333,-77.3318
229_4,Quercus rubra,43.03706,-77.52962
230_16,Quercus velutina,43.04849,-77.55754
233_12,Quercus alba,43.22969,-77.56072
235_,Quercus spp.,42.92987,-77.72118
236_12,Quercus rubra,42.93641,-77.69334
237_8,Quercus rubra,42.93958,-77.71808
238_8,Quercus rubra,42.76156,-77.62346
239_4,Quercus rubra,42.67367,-77.47488
240_12,Quercus rubra,43.16611,-77.52978
241_4,Quercus rubra,42.75941,-77.83801
245_8,Quercus rubra,42.99105,-77.89431
247_16,Quercus alba,42.99339,-77.88522
248_4,Quercus velutina,43.17257,-77.52379
261_16,Quercus alba,42.99079,-77.88913
269_12,Quercus alba,42.82443,-77.55596
273_8,Quercus rubra,42.96014,-77.68037
274_8,Quercus velutina,42.99249,-77.89222
276_4,Quercus rubra,43.19423,-77.74115
277_12,Quercus rubra,42.96976,-77.42161
278_16,Quercus alba,42.98649,-77.81499
