Year,Value,Sample_Depth
1805,0.319404474,1
1806,0.511932344,1
1807,0.427102056,1
1808,0.326782007,2
1809,0.380665627,2
1810,0.216000542,2
1811,0.414142987,2
1812,0.344659519,2
1813,0.243212264,2
1814,0.402619595,2
1815,0.495243752,2
1816,0.440570069,2
1817,0.899725489,2
1818,0.482903429,3
1819,0.313432646,3
1820,0.367210477,3
1821,0.430156947,3
1822,0.308342022,3
1823,0.306793149,3
1824,0.347487699,3
1825,0.555024022,5
1826,0.591998232,5
1827,0.575191955,5
1828,0.7458346,5
1829,0.780165098,5
1830,1.023402754,6
1831,0.719152377,6
1832,0.614506331,6
1833,0.684100773,7
1834,0.791149396,7
1835,0.674149568,7
1836,0.660638745,7
1837,0.696193436,8
1838,0.56344762,8
1839,0.608208566,8
1840,0.58034655,8
1841,0.610215621,8
1842,0.577983618,8
1843,0.556619047,8
1844,0.473263422,9
1845,0.505973924,10
1846,0.535534785,10
1847,0.494444479,10
1848,0.656264288,11
1849,0.589273634,11
1850,0.585375449,11
1851,0.552994368,11
1852,0.645237414,11
1853,0.507189156,12
1854,0.445861896,12
1855,0.573607618,13
1856,0.598796797,13
1857,0.464847117,13
1858,0.454489288,14
1859,0.597301515,14
1860,0.651402424,14
1861,0.63681696,14
1862,0.658903852,14
1863,0.621454124,14
1864,0.491128171,14
1865,0.446817552,14
1866,0.511922916,15
1867,0.566866763,16
1868,0.490890818,16
1869,0.643939261,17
1870,0.569169958,18
1871,0.571794257,18
1872,0.574561532,18
1873,0.654814213,18
1874,0.729687548,19
1875,0.685032765,19
1876,0.690866585,19
1877,0.677982394,21
1878,0.839610693,22
1879,0.75611317,23
1880,0.775209116,24
1881,0.821247388,25
1882,0.71509169,25
1883,0.792239525,25
1884,0.765842272,25
1885,0.878712302,25
1886,0.78266142,25
1887,0.789516548,25
1888,0.780051898,25
1889,1.001913799,25
1890,0.809280409,25
1891,0.791290096,25
1892,0.794550253,26
1893,0.667978534,26
1894,0.639091733,28
1895,0.624994575,29
1896,0.767666459,31
1897,0.823218167,32
1898,0.740079686,32
1899,0.748793494,33
1900,0.71952457,33
1901,0.742383803,34
1902,1.120940675,34
1903,1.072090363,34
1904,1.099332418,34
1905,1.044452001,35
1906,1.026702324,35
1907,0.813930726,40
1908,1.004246991,42
1909,0.764660838,43
1910,0.760797389,44
1911,0.795302261,45
1912,0.902830556,45
1913,0.855805122,45
1914,0.767138003,47
1915,0.976459686,47
1916,0.94146339,48
1917,0.985002075,49
1918,0.892567196,50
1919,0.912106654,51
1920,0.920143517,51
1921,0.832134241,51
1922,1.033922307,51
1923,0.869294675,51
1924,0.913341357,51
1925,0.981040252,52
1926,0.858879503,53
1927,0.892226934,53
1928,0.912800814,54
1929,0.886803417,57
1930,0.92711032,57
1931,1.026251302,57
1932,0.980696114,58
1933,0.859749643,59
1934,0.852217615,60
1935,1.108776387,61
1936,0.758795404,61
1937,0.936464306,61
1938,1.010696496,62
1939,1.046339286,62
1940,1.161607485,62
1941,0.877297384,62
1942,1.052531467,63
1943,1.032558043,63
1944,1.033926267,63
1945,1.023750238,64
1946,1.065139937,65
1947,1.207340574,65
1948,0.990144214,65
1949,0.867821991,67
1950,1.113117754,67
1951,1.099136353,68
1952,0.893729561,68
1953,1.00769186,69
1954,0.933534838,69
1955,0.858287111,69
1956,1.074032774,69
1957,1.075022049,69
1958,1.177245599,70
1959,0.911380429,70
1960,0.975363018,70
1961,1.182668754,70
1962,0.950579763,70
1963,0.920754868,70
1964,0.965703098,71
1965,0.811355149,73
1966,0.837862137,74
1967,0.93353923,75
1968,1.068845363,75
1969,1.217935725,75
1970,1.082715732,75
1971,1.107186909,76
1972,1.164325022,77
1973,0.964879276,78
1974,1.052404229,78
1975,1.138095645,78
1976,1.079866384,78
1977,1.064319238,78
1978,1.004156913,81
1979,1.088652168,81
1980,1.301381322,81
1981,1.055975592,81
1982,1.149930298,81
1983,1.025180007,81
1984,1.019846112,81
1985,1.00002896,81
1986,1.036003848,82
1987,0.973752188,83
1988,0.960816519,84
1989,1.086362367,84
1990,0.992740448,85
1991,0.780935771,85
1992,1.031577672,86
1993,1.023760979,86
1994,1.017001938,86
1995,1.093808482,86
1996,1.122885379,86
1997,1.021995974,86
1998,1.201087056,86
1999,0.910688147,86
2000,1.160016674,86
2001,1.007297498,86
2002,1.058751711,86
2003,0.96632387,86
2004,1.153069232,86
2005,1.026689392,86
2006,1.098573667,86
2007,1.01245031,86
2008,1.043572077,86
2009,1.324347083,86
2010,1.131955383,86
2011,1.071110879,86
2012,1.005605695,86
2013,1.077101216,86
2014,1.099113342,86
2015,1.19783972,86
2016,0.941728348,86
2017,1.094257119,86
