Year,Sample_Depth,Growth_Releases
1808,1,0
1809,1,0
1810,1,0
1811,1,0
1812,1,0
1813,1,0
1814,1,0
1815,1,0
1816,1,0
1817,1,0
1818,2,0
1819,2,0
1820,2,0
1821,2,0
1822,2,0
1823,2,0
1824,2,1
1825,3,0
1826,3,0
1827,3,0
1828,3,0
1829,3,0
1830,4,1
1831,4,0
1832,4,0
1833,5,0
1834,5,0
1835,5,0
1836,5,0
1837,6,0
1838,6,0
1839,6,0
1840,6,0
1841,6,0
1842,6,1
1843,6,0
1844,7,0
1845,8,0
1846,8,0
1847,8,1
1848,8,0
1849,8,0
1850,8,0
1851,8,0
1852,8,0
1853,8,0
1854,8,0
1855,9,0
1856,9,0
1857,9,0
1858,9,0
1859,9,1
1860,9,1
1861,9,0
1862,9,0
1863,9,1
1864,9,0
1865,9,0
1866,9,0
1867,9,0
1868,9,1
1869,10,0
1870,11,0
1871,11,0
1872,11,1
1873,11,1
1874,12,0
1875,12,2
1876,12,1
1877,13,0
1878,14,0
1879,15,1
1880,16,0
1881,16,0
1882,16,1
1883,16,1
1884,16,1
1885,16,1
1886,16,0
1887,16,0
1888,16,0
1889,16,1
1890,16,0
1891,16,0
1892,17,0
1893,17,1
1894,18,1
1895,19,0
1896,21,2
1897,21,2
1898,21,0
1899,21,1
1900,21,0
1901,22,2
1902,22,1
1903,22,2
1904,22,0
1905,23,2
1906,23,0
1907,27,0
1908,29,1
1909,30,0
1910,30,0
1911,31,0
1912,31,1
1913,31,0
1914,33,1
1915,33,0
1916,34,2
1917,35,1
1918,36,1
1919,37,0
1920,37,0
1921,37,0
1922,37,2
1923,37,0
1924,37,1
1925,38,1
1926,39,1
1927,39,2
1928,40,1
1929,42,0
1930,42,3
1931,42,2
1932,43,0
1933,44,0
1934,45,2
1935,46,2
1936,46,2
1937,46,3
1938,47,2
1939,47,0
1940,47,0
1941,47,0
1942,48,1
1943,48,1
1944,48,0
1945,49,2
1946,50,0
1947,50,0
1948,50,1
1949,52,2
1950,52,0
1951,53,0
1952,53,1
1953,54,0
1954,54,0
1955,54,3
1956,54,1
1957,54,4
1958,55,2
1959,55,0
1960,55,2
1961,55,2
1962,55,0
1963,55,0
1964,56,3
1965,58,1
1966,59,2
1967,59,2
1968,59,3
1969,59,1
1970,59,2
1971,60,4
1972,61,0
1973,62,2
1974,62,3
1975,62,3
1976,62,1
1977,62,0
1978,64,0
1979,64,4
1980,64,1
1981,64,1
1982,64,1
1983,64,0
1984,64,0
1985,64,1
1986,65,0
1987,65,1
1988,66,0
1989,66,0
1990,67,2
1991,67,7
1992,68,0
1993,68,1
1994,68,4
1995,68,2
1996,68,4
1997,68,1
1998,68,0
1999,68,2
2000,68,1
2001,68,2
2002,68,0
2003,68,2
2004,68,3
2005,68,4
2006,68,1
2007,68,3
2008,68,0
2009,68,0
2010,68,0
2011,68,0
2012,68,0
2013,68,0
2014,68,0
2015,68,0
2016,68,0
2017,68,0
