Year,Value,Sample_Depth
1818,0.411210621,1
1819,0.352939229,1
1820,0.317843958,1
1821,0.353601404,1
1822,0.30724916,1
1823,0.27082954,1
1824,0.34631748,1
1825,0.497955535,1
1826,0.731703279,1
1827,0.712500207,1
1828,0.892611783,1
1829,0.953531875,1
1830,1.036993263,2
1831,0.767972778,2
1832,0.634091998,2
1833,0.793708294,3
1834,0.817959029,3
1835,0.703302251,3
1836,0.682926639,3
1837,0.813496365,4
1838,0.544126845,4
1839,0.511187872,4
1840,0.468442946,4
1841,0.731626545,4
1842,0.507368738,4
1843,0.526484827,4
1844,0.472536361,5
1845,0.523897214,6
1846,0.481987839,6
1847,0.441776106,6
1848,0.524508945,6
1849,0.442708824,6
1850,0.462377011,6
1851,0.491572099,6
1852,0.607779914,6
1853,0.43346631,6
1854,0.458967683,6
1855,0.504181641,6
1856,0.443145508,6
1857,0.459852466,6
1858,0.452122716,6
1859,0.607500091,6
1860,0.596524545,6
1861,0.602192054,6
1862,0.605838999,6
1863,0.599390233,6
1864,0.438199766,6
1865,0.358809984,6
1866,0.430396452,7
1867,0.431516377,7
1868,0.384186077,7
1869,0.690302108,8
1870,0.572056426,9
1871,0.529890928,9
1872,0.510308929,9
1873,0.599763163,9
1874,0.714699009,10
1875,0.678020396,10
1876,0.682324746,10
1877,0.740986086,11
1878,0.942947565,12
1879,0.747880704,13
1880,0.723766743,14
1881,0.814641539,14
1882,0.676325307,14
1883,0.797376662,14
1884,0.737233403,14
1885,0.88201955,14
1886,0.706371087,14
1887,0.757543049,14
1888,0.732028114,14
1889,1.06735964,14
1890,0.750090421,14
1891,0.734506248,14
1892,0.739669867,15
1893,0.56879227,15
1894,0.539924214,16
1895,0.5353917,17
1896,0.721333888,19
1897,0.796926535,19
1898,0.71596877,19
1899,0.717039139,19
1900,0.66896097,19
1901,0.800992304,20
1902,1.259429298,20
1903,1.18200602,20
1904,1.24811078,20
1905,1.142166837,21
1906,1.09006104,21
1907,0.91609952,25
1908,1.070731528,27
1909,0.753857186,28
1910,0.782660684,28
1911,0.806478835,29
1912,0.887071095,29
1913,0.893328584,29
1914,0.802894465,31
1915,1.026664395,31
1916,0.967313559,31
1917,1.036480224,32
1918,0.9114807,33
1919,0.936281484,34
1920,0.995184362,34
1921,0.878370041,34
1922,1.10756143,34
1923,0.909341851,34
1924,0.978786438,34
1925,0.998392523,35
1926,0.843655989,36
1927,0.873838646,36
1928,0.946655115,37
1929,0.90469226,39
1930,0.959316239,39
1931,1.049601645,39
1932,1.000856571,40
1933,0.822109108,41
1934,0.83084859,42
1935,1.14843262,43
1936,0.757745463,43
1937,0.982257616,43
1938,1.060209158,44
1939,1.09149716,44
1940,1.226926042,44
1941,0.912147548,44
1942,1.148490024,45
1943,1.057070988,45
1944,1.074878842,45
1945,1.080948402,46
1946,1.095462141,47
1947,1.28721946,47
1948,1.033519735,47
1949,0.907018899,49
1950,1.188128644,49
1951,1.157683868,50
1952,0.893449039,50
1953,1.038451825,51
1954,0.933436,51
1955,0.830614853,51
1956,1.068805158,51
1957,1.051090233,51
1958,1.183222001,52
1959,0.894441532,52
1960,0.971408942,52
1961,1.182205368,52
1962,0.93671481,52
1963,0.871507,52
1964,0.951455914,53
1965,0.778807833,55
1966,0.812787142,56
1967,0.937800309,56
1968,1.064731515,56
1969,1.187600588,56
1970,1.023035255,56
1971,1.067663155,57
1972,1.153454508,58
1973,0.922980909,59
1974,1.011963048,59
1975,1.100054226,59
1976,1.047215019,59
1977,1.008171615,59
1978,0.958889333,61
1979,1.044788776,61
1980,1.232858522,61
1981,1.004246511,61
1982,1.107910369,61
1983,0.974676595,61
1984,0.97825823,61
1985,0.958642951,61
1986,0.994062684,62
1987,0.924769463,62
1988,0.856545321,63
1989,1.018476949,63
1990,0.950337515,64
1991,0.724598359,64
1992,1.030377964,65
1993,0.98143137,65
1994,0.971447189,65
1995,1.070656001,65
1996,1.120478095,65
1997,1.016952776,65
1998,1.216025287,65
1999,0.892199428,65
2000,1.147093578,65
2001,0.97386212,65
2002,1.026016701,65
2003,0.949161324,65
2004,1.139852927,65
2005,1.002281266,65
2006,1.086832867,65
2007,0.994659782,65
2008,1.028715886,65
2009,1.2863801,65
2010,1.082751686,65
2011,1.033887064,65
2012,0.989948569,65
2013,1.089697923,65
2014,1.092477571,65
2015,1.198160575,65
2016,0.909724918,65
2017,1.101353825,65
